season,week,home_team,away_team,home_conference,away_conference,home_score,away_score,spread,over_under,home_moneyline,away_moneyline,actual_margin,total_points,home_covered,over_hit,spread_error,spread_group
2020,11,San José State,UNLV,Mountain West,Mountain West,34,17,-17.0,61.5,,,17,51,True,False,34.0,Big Home Favorite
2020,14,San Diego State,Colorado State,Mountain West,Mountain West,29,17,-7.5,46.5,,,12,46,True,False,19.5,Small Home Favorite
2020,14,San José State,Hawai'i,Mountain West,Mountain West,35,24,2.5,59.5,,,11,59,True,False,8.5,Small Home Underdog
2020,15,Hawai'i,UNLV,Mountain West,Mountain West,38,21,-18.5,60.0,,,17,59,True,False,35.5,Big Home Favorite
2020,10,USC,Arizona State,Pac-12,Pac-12,28,27,-11.5,57.5,,,1,55,True,False,12.5,Small Home Favorite
2020,11,Washington State,Oregon,Pac-12,Pac-12,29,43,10.5,57.5,,,-14,72,False,True,-24.5,Small Home Underdog
2020,12,Oregon State,California,Pac-12,Pac-12,31,27,1.0,46.5,,,4,58,True,True,3.0,Small Home Underdog
2020,13,UCLA,Arizona,Pac-12,Pac-12,27,10,-7.5,70.5,,,17,37,True,False,24.5,Small Home Favorite
2020,14,Arizona State,UCLA,Pac-12,Pac-12,18,25,-2.5,57.5,,,-7,43,False,False,-4.5,Small Home Favorite
2020,14,Arizona,Colorado,Pac-12,Pac-12,13,24,9.5,57.5,,,-11,37,False,False,-20.5,Small Home Underdog
2020,15,Colorado,Utah,Pac-12,Pac-12,21,38,2.5,49.0,,,-17,59,False,True,-19.5,Small Home Underdog
2020,15,Arizona,Arizona State,Pac-12,Pac-12,7,70,9.0,56.5,,,-63,77,False,True,-72.0,Small Home Underdog
2020,12,Kent State,Akron,Mid-American,Mid-American,69,35,-26.0,60.0,,,34,104,True,True,60.0,Big Home Favorite
2020,13,Toledo,Ball State,Mid-American,Mid-American,24,27,-10.0,67.5,,,-3,51,True,False,7.0,Small Home Favorite
2020,13,Western Michigan,Northern Illinois,Mid-American,Mid-American,30,27,-18.5,64.5,,,3,57,True,False,21.5,Big Home Favorite
2020,14,Central Michigan,Ball State,Mid-American,Mid-American,20,45,2.5,63.0,,,-25,65,False,True,-27.5,Small Home Underdog
2020,14,Western Michigan,Eastern Michigan,Mid-American,Mid-American,42,53,-13.5,67.5,,,-11,95,True,True,2.5,Small Home Favorite
2020,14,Northern Illinois,Toledo,Mid-American,Mid-American,24,41,9.5,53.5,,,-17,65,False,True,-26.5,Small Home Underdog
2020,14,Akron,Bowling Green,Mid-American,Mid-American,31,3,-2.5,55.5,,,28,34,True,False,30.5,Small Home Favorite
2020,13,Akron,Miami (OH),Mid-American,Mid-American,7,38,14.0,55.5,,,-31,45,False,False,-45.0,Big Home Underdog
2020,11,UCLA,California,Pac-12,Pac-12,34,10,3.5,57.5,,,24,44,True,False,20.5,Small Home Underdog
2020,16,UCLA,Stanford,Pac-12,Pac-12,47,48,-6.5,61.0,,,-1,95,True,True,5.5,Small Home Favorite
2020,16,Oregon State,Arizona State,Pac-12,Pac-12,33,46,7.5,54.5,,,-13,79,False,True,-20.5,Small Home Underdog
2020,16,Penn State,Illinois,Big Ten,Big Ten,56,21,-16.0,52.5,,,35,77,True,True,51.0,Big Home Favorite
2020,5,Florida Atlantic,Charlotte,Conference USA,Conference USA,21,17,-5.0,62.5,,,4,38,True,False,9.0,Small Home Favorite
2020,12,BYU,North Alabama,FBS Independents,Big South,66,14,-50.0,63.0,,,52,80,True,True,102.0,Big Home Favorite
2020,3,NC State,Wake Forest,ACC,ACC,45,42,2.0,53.5,,,3,87,True,True,1.0,Small Home Underdog
2020,1,Marshall,Eastern Kentucky,Conference USA,OVC,59,0,-25.5,55.0,,,59,59,True,True,84.5,Big Home Favorite
2020,8,Michigan State,Rutgers,Big Ten,Big Ten,27,38,-9.5,44.5,,,-11,65,False,True,-1.5,Small Home Favorite
2020,13,Indiana,Maryland,Big Ten,Big Ten,27,11,-11.5,62.5,,,16,38,True,False,27.5,Small Home Favorite
2020,14,New Mexico,Wyoming,Mountain West,Mountain West,17,16,15.5,51.0,,,1,33,False,False,-14.5,Big Home Underdog
2020,15,New Mexico,Fresno State,Mountain West,Mountain West,49,39,14.5,55.5,,,10,88,False,True,-4.5,Big Home Underdog
2020,4,UTSA,Middle Tennessee,Conference USA,Conference USA,37,35,-6.0,58.5,,,2,72,True,True,8.0,Small Home Favorite
2020,4,Oklahoma,Kansas State,Big 12,Big 12,35,38,-27.5,61.5,,,-3,73,True,True,24.5,Big Home Favorite
2020,4,Ole Miss,Florida,SEC,SEC,35,51,14.0,59.5,,,-16,86,False,True,-30.0,Big Home Underdog
2020,5,Wake Forest,Campbell,ACC,Big South,66,14,-34.5,68.5,,,52,80,True,True,86.5,Big Home Favorite
2020,6,Houston,Tulane,American Athletic,American Athletic,49,31,-6.5,58.0,,,18,80,True,True,24.5,Small Home Favorite
2020,6,Georgia Tech,Louisville,ACC,ACC,46,27,4.5,63.0,,,19,73,True,True,14.5,Small Home Underdog
2020,6,Clemson,Miami,ACC,ACC,42,17,-14.5,60.5,,,25,59,True,False,39.5,Big Home Favorite
2020,6,Troy,Texas State,Sun Belt,Sun Belt,37,17,-7.0,59.5,,,20,54,True,False,27.0,Small Home Favorite
2020,6,Navy,Temple,American Athletic,American Athletic,31,29,4.0,51.0,,,2,60,False,True,-2.0,Small Home Underdog
2020,5,Alabama,Texas A&M,SEC,SEC,52,24,-18.0,53.5,,,28,76,True,True,46.0,Big Home Favorite
2020,5,UCF,Tulsa,American Athletic,American Athletic,26,34,-20.5,70.0,,,-8,60,True,False,12.5,Big Home Favorite
2020,5,SMU,Memphis,American Athletic,American Athletic,30,27,-2.0,74.5,,,3,57,True,False,5.0,Small Home Favorite
2020,5,UAB,UTSA,Conference USA,Conference USA,21,13,-21.5,55.0,,,8,34,True,False,29.5,Big Home Favorite
2020,5,North Texas,Southern Miss,Conference USA,Conference USA,31,41,-1.5,74.0,,,-10,72,False,False,-8.5,Small Home Favorite
2020,5,Florida,South Carolina,SEC,SEC,38,24,-14.5,56.5,,,14,62,True,True,28.5,Big Home Favorite
2020,5,Georgia,Auburn,SEC,SEC,27,6,-7.5,44.5,,,21,33,True,False,28.5,Small Home Favorite
2020,5,Mississippi State,Arkansas,SEC,SEC,14,21,-16.5,68.5,,,-7,35,True,False,9.5,Big Home Favorite
2020,5,Vanderbilt,LSU,SEC,SEC,7,41,21.0,50.0,,,-34,48,False,False,-55.0,Big Home Underdog
2020,5,Tennessee,Missouri,SEC,SEC,35,12,-10.0,49.0,,,23,47,True,False,33.0,Small Home Favorite
2020,5,Georgia State,East Carolina,Sun Belt,American Athletic,49,29,1.5,70.0,,,20,78,True,True,18.5,Small Home Underdog
2020,5,Coastal Carolina,Arkansas State,Sun Belt,Sun Belt,52,23,3.5,64.5,,,29,75,True,True,25.5,Small Home Underdog
2020,5,West Virginia,Baylor,Big 12,Big 12,27,21,1.5,54.0,,,6,48,True,False,4.5,Small Home Underdog
2020,5,UL Monroe,Georgia Southern,Sun Belt,Sun Belt,30,35,19.5,50.5,,,-5,65,False,True,-24.5,Big Home Underdog
2020,4,Virginia,Duke,ACC,ACC,38,20,-4.0,45.5,,,18,58,True,True,22.0,Small Home Favorite
2020,4,South Alabama,UAB,Sun Belt,Conference USA,10,42,7.5,47.5,,,-32,52,False,True,-39.5,Small Home Underdog
2020,4,Arkansas,Georgia,SEC,SEC,10,37,28.0,53.0,,,-27,47,False,False,-55.0,Big Home Underdog
2020,4,LSU,Mississippi State,SEC,SEC,34,44,-14.5,57.0,,,-10,78,True,True,4.5,Big Home Favorite
2020,4,Auburn,Kentucky,SEC,SEC,29,13,-6.5,46.5,,,16,42,True,False,22.5,Small Home Favorite
2020,4,Oklahoma State,West Virginia,Big 12,Big 12,27,13,-6.5,50.0,,,14,40,True,False,20.5,Small Home Favorite
